country,year,sex,age,suicides_no,population,suicides_per_thousand,,,,183.3528646
Albania,2006,male,15-24 years,0,286679,0,,,,
Albania,2006,male,25-34 years,0,174092,0,,,,
Albania,2006,male,35-54 years,0,379076,0,,,,
Albania,2006,male,5-14 years,0,282678,0,,,,
Albania,2006,male,55-74 years,0,219360,0,,,,
Albania,2006,male,75+ years,0,40782,0,,,,
Albania,2007,female,15-24 years,13,281080,0.046250178,,,,
Albania,2007,female,25-34 years,8,183629,0.043566103,,,,
Albania,2007,female,35-54 years,14,391811,0.035731513,,,,
Albania,2007,female,5-14 years,0,256808,0,,,,
Albania,2007,female,55-74 years,9,221120,0.040701881,,,,
Albania,2007,female,75+ years,3,57404,0.052261166,,,,
Albania,2007,male,15-24 years,13,288349,0.045084256,,,,
Albania,2007,male,25-34 years,9,172494,0.052175728,,,,
Albania,2007,male,35-54 years,29,378626,0.076592733,,,,
Albania,2007,male,5-14 years,4,272497,0.014679061,,,,
Albania,2007,male,55-74 years,14,224160,0.062455389,,,,
Albania,2007,male,75+ years,8,42366,0.188830666,,,,
Albania,2008,female,15-24 years,20,276073,0.072444607,,,,
Albania,2008,female,25-34 years,9,182663,0.049271062,,,,
Albania,2008,female,35-54 years,19,393832,0.048243921,,,,
Albania,2008,female,5-14 years,1,246288,0.004060287,,,,
Albania,2008,female,55-74 years,7,226448,0.030912174,,,,
Albania,2008,female,75+ years,5,59369,0.084219037,,,,
Albania,2008,male,15-24 years,11,286702,0.038367364,,,,
Albania,2008,male,25-34 years,21,172855,0.121489109,,,,
Albania,2008,male,35-54 years,37,377119,0.098112267,,,,
Albania,2008,male,5-14 years,7,262464,0.026670324,,,,
Albania,2008,male,55-74 years,21,228672,0.091834593,,,,
Albania,2008,male,75+ years,2,44574,0.044869206,,,,
Albania,2009,female,15-24 years,0,270003,0,,,,
Albania,2009,female,25-34 years,0,182712,0,,,,
Albania,2009,female,35-54 years,0,394286,0,,,,
Albania,2009,female,5-14 years,0,236174,0,,,,
Albania,2009,female,55-74 years,0,233302,0,,,,
Albania,2009,female,75+ years,0,61582,0,,,,
Albania,2009,male,15-24 years,0,283448,0,,,,
Albania,2009,male,25-34 years,0,174955,0,,,,
Albania,2009,male,35-54 years,0,374365,0,,,,
Albania,2009,male,5-14 years,0,253007,0,,,,
Albania,2009,male,55-74 years,0,234570,0,,,,
Albania,2009,male,75+ years,0,47331,0,,,,
Albania,2010,female,15-24 years,6,263581,0.022763401,,,,
Albania,2010,female,25-34 years,6,183579,0.032683477,,,,
Albania,2010,female,35-54 years,12,394593,0.030411082,,,,
Albania,2010,female,5-14 years,2,223969,0.008929807,,,,
Albania,2010,female,55-74 years,7,241491,0.028986587,,,,
Albania,2010,female,75+ years,2,64415,0.031048669,,,,
Albania,2010,male,15-24 years,10,279508,0.035777151,,,,
Albania,2010,male,25-34 years,9,179720,0.050077899,,,,
Albania,2010,male,35-54 years,20,371611,0.05381972,,,,
Albania,2010,male,5-14 years,0,240939,0,,,,
Albania,2010,male,55-74 years,20,241852,0.082695202,,,,
Albania,2010,male,75+ years,2,50767,0.03939567,,,,
Albania,2011,female,15-24 years,0,258006,0,,,,
Albania,2011,female,25-34 years,0,184556,0,,,,
Albania,2011,female,35-54 years,0,394638,0,,,,
Albania,2011,female,5-14 years,0,210822,0,,,,
Albania,2011,female,55-74 years,0,250641,0,,,,
Albania,2011,female,75+ years,0,67649,0,,,,
Albania,2011,male,15-24 years,0,275385,0,,,,
Albania,2011,male,25-34 years,0,185898,0,,,,
Albania,2011,male,35-54 years,0,368950,0,,,,
Albania,2011,male,5-14 years,0,228071,0,,,,
Albania,2011,male,55-74 years,0,250362,0,,,,
Albania,2011,male,75+ years,0,54228,0,,,,
Albania,2012,female,15-24 years,0,249730,0,,,,
Albania,2012,female,25-34 years,0,187346,0,,,,
Albania,2012,female,35-54 years,0,395819,0,,,,
Albania,2012,female,5-14 years,0,198385,0,,,,
Albania,2012,female,55-74 years,0,259751,0,,,,
Albania,2012,female,75+ years,0,69811,0,,,,
Albania,2012,male,15-24 years,0,268954,0,,,,
Albania,2012,male,25-34 years,0,194250,0,,,,
Albania,2012,male,35-54 years,0,369536,0,,,,
Albania,2012,male,5-14 years,0,215894,0,,,,
Albania,2012,male,55-74 years,0,259056,0,,,,
Albania,2012,male,75+ years,0,56701,0,,,,
Albania,2013,female,15-24 years,0,237550,0,,,,
Albania,2013,female,25-34 years,0,191853,0,,,,
Albania,2013,female,35-54 years,0,397517,0,,,,
Albania,2013,female,5-14 years,0,187558,0,,,,
Albania,2013,female,55-74 years,0,269026,0,,,,
Albania,2013,female,75+ years,0,71601,0,,,,
Albania,2013,male,15-24 years,0,259826,0,,,,
Albania,2013,male,25-34 years,0,204491,0,,,,
Albania,2013,male,35-54 years,0,372005,0,,,,
Albania,2013,male,5-14 years,0,204865,0,,,,
Albania,2013,male,55-74 years,0,267905,0,,,,
Albania,2013,male,75+ years,0,59113,0,,,,
Albania,2014,female,15-24 years,0,224883,0,,,,
Albania,2014,female,25-34 years,0,195460,0,,,,
Albania,2014,female,35-54 years,0,399197,0,,,,
Albania,2014,female,5-14 years,0,177838,0,,,,
Albania,2014,female,55-74 years,0,278887,0,,,,
